items,levels
"{1: [3854, 3340, 2003, 2003, 1001, 3117, 2055, 2055, 2055, 3801, 2055, 2055, 1004, 1004], 2: [1055, 2003, 3340, 2031, 1038, 2055, 1001, 1036], 3: [1056, 2003, 2003, 3340, 3802, 3145, 2031], 4: [1039, 2055, 3340, 3706, 1001, 1052, 3364, 1402, 2055], 5: [2033, 3340, 1055, 1036, 2055, 1053, 1036, 2055, 3077, 3144, 1001], 6: [1054, 2003, 3340, 2003, 2055, 1029, 1031, 2003, 1001, 1029], 7: [1055, 2003, 3340, 1001, 2031, 1027, 3070, 1037], 8: [3858, 2003, 2003, 3340, 1004, 2055, 1001, 1004, 2055, 3111], 9: [1056, 2003, 2003, 3340, 1026, 1052, 2003, 2055, 3364, 3285], 10: [1039, 2031, 3340, 3706, 1043, 1416]}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 8, 6: 7, 7: 6, 8: 5, 9: 8, 10: 8}"
"{1: [1055, 2003, 3340, 1036, 1036, 1001, 2003, 1038, 3133, 2003, 2003, 3006], 2: [1055, 2003, 3340, 1036, 1036, 1036, 2003, 2003, 3077, 1001, 3057], 3: [3340, 3340, 1039, 2031, 3340, 3715, 1036, 1036, 1001, 1412], 4: [1054, 2003, 3340, 1052, 1001, 3145, 3111, 2055], 5: [3858, 2003, 2003, 3340, 1001, 2031, 2055, 3117, 1029, 2055, 2055, 3024, 3364], 6: [1055, 2003, 2031, 1036, 1042, 2031, 1036, 1042, 1055, 1001, 3006], 7: [3858, 2003, 2003, 3340, 1001, 1004, 2003, 3114, 2055, 1052], 8: [1041, 2031, 3340, 3133, 1039, 3715], 9: [1056, 2003, 2003, 3340, 1001, 1056, 1052, 3020, 2003, 3364], 10: [2033, 1004, 2055, 1083, 1027, 3070]}","{1: 7, 2: 8, 3: 7, 4: 8, 5: 6, 6: 6, 7: 5, 8: 7, 9: 8, 10: 7}"
"{1: [1039, 2031, 3340, 3364, 3715, 1036, 2055, 3133, 2055, 1412, 1001, 1036, 2055], 2: [1055, 2003, 3340, 2055, 2031, 3077, 2031, 1036, 3047], 3: [1055, 3340, 2003, 1055, 1036, 2003, 1038, 1036, 2031], 4: [1029, 2003, 2003, 2003, 2003, 3340, 1029, 1001, 2003, 3191, 3047, 1052, 1052], 5: [3850, 3340, 2003, 2003, 1001, 1029, 3024, 1029, 2003], 6: [2031, 1039, 3715, 1036, 1036, 1001, 2055], 7: [1055, 2003, 3340, 3070, 2003, 1037, 2055], 8: [1055, 2003, 3006, 1055, 2003, 1053, 2055, 2003], 9: [3850, 2003, 2003, 3340, 1052, 2055, 1001, 1028], 10: [2033, 3340, 1036, 1036, 1036, 3077, 1001, 1028, 1029]}","{1: 7, 2: 8, 3: 7, 4: 8, 5: 6, 6: 6, 7: 6, 8: 8, 9: 6, 10: 8}"
"{1: [1041, 2031, 3340, 1036, 2055, 1036, 2055, 3133, 2055, 1412], 2: [3340, 2033, 3191, 1082, 1052, 2055], 3: [1056, 2003, 2003, 3340, 1001, 2003, 1052, 2003, 1052, 3802, 2055], 4: [1083, 2003, 1053, 1036, 3105], 5: [3850, 2003, 2003, 3340, 2055, 3136, 1001, 2055, 2055], 6: [2031, 1039, 3340, 1001, 1082, 1402, 2055, 1052], 7: [3850, 2003, 2003, 3340, 1001, 2031, 1033, 3111, 1028, 2055, 2055, 3364], 8: [3340, 3340, 1054, 2003, 3340, 3070, 2003, 3057, 3004], 9: [1056, 2003, 2003, 3340, 1052, 1001, 2031, 1052], 10: [2033, 1001, 3134, 2055, 1036, 1036, 1036]}","{1: 6, 2: 7, 3: 6, 4: 8, 5: 5, 6: 7, 7: 6, 8: 7, 9: 8, 10: 7}"
"{1: [1055, 2003, 3340, 1036, 1036, 2055, 1053, 1001, 3144, 1042], 2: [1056, 2003, 3340, 2003, 3010, 2003, 2055, 3027, 2055], 3: [1039, 2031, 3340, 1052, 3108, 1001, 2055, 1402, 1052], 4: [2003, 2003, 3858, 3340, 1001, 2003, 2055, 3117, 2055], 5: [1054, 2003, 3340, 3047, 2003, 2055, 1053, 2031], 6: [1055, 2003, 3340, 1042, 3006, 1053, 1042, 1042], 7: [3850, 2003, 2003, 3340, 1001, 1004, 2055, 2003, 3117, 2003, 3028, 3364, 2055, 2055, 2003], 8: [1041, 2031, 3340, 3364, 3706, 1001, 1042, 3133], 9: [2033, 3340, 1029, 2055, 1036, 1001, 3047], 10: [2033, 3340, 1082, 1001, 2055]}","{1: 6, 2: 8, 3: 7, 4: 5, 5: 8, 6: 7, 7: 6, 8: 6, 9: 6, 10: 8}"
"{1: [1055, 2003, 3340, 1055, 1055, 2055, 2003, 1001, 1036, 1038], 2: [3340, 2031, 1041, 3364, 3706, 2055, 3108, 1001, 2055], 3: [2003, 1054, 3340, 1055, 2031, 2055, 1001, 1028], 4: [3858, 2003, 2003, 1028, 1001, 3111, 2055, 2055], 5: [1036, 2031, 3340, 3077, 2055, 3155, 3133], 6: [1039, 2031, 3340, 3364, 3706, 1028, 1001, 2055, 2055, 3751, 2055], 7: [1054, 2003, 1036, 1036, 1006, 3077, 2055, 1053, 1001, 2055], 8: [1056, 2003, 2003, 3340, 3191, 2003, 1001, 2031, 3020, 2055], 9: [3850, 2003, 2003, 1082, 1052, 2055, 2003, 3108, 1004, 2055, 2031, 3364, 3158], 10: [1055, 2003, 3340, 1038, 2055, 2003, 3133, 2055, 2003, 1055, 1001]}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 8, 6: 6, 7: 8, 8: 7, 9: 6, 10: 6}"
"{1: [2031, 3340, 1039, 3364, 1001, 3715, 1028, 2055], 2: [3340, 3340, 1029, 2003, 2003, 2003, 2003, 3340, 3191, 2031, 2055, 1027, 1028, 2055, 3027, 1001, 2055], 3: [3340, 3340, 1055, 2003, 3340, 1042, 1042, 2003, 3101, 1036, 1001, 1036], 4: [1055, 3340, 2003, 1043, 2003, 1037, 1001, 2031], 5: [3340, 3340, 2003, 2003, 3858, 3340, 3113, 1004, 1004], 6: [3850, 2003, 2003, 3340, 1001, 2055, 3117, 2055], 7: [1055, 2003, 3340, 1083, 2031, 1038, 1001], 8: [1039, 2031, 3340, 3706, 3108, 1402, 1001], 9: [3340, 3340, 1036, 2003, 2003, 2003, 3340, 3134, 1036, 2055, 2003, 2003, 3133, 2055, 3364, 3340, 3142, 1036, 2031, 2055], 10: [1054, 2003, 3340, 3751, 1001, 2055, 1029, 1029]}","{1: 8, 2: 9, 3: 8, 4: 6, 5: 6, 6: 6, 7: 7, 8: 7, 9: 8, 10: 8}"
"{1: [3854, 2003, 2003, 3340, 1001, 2055, 3117, 2055, 1029], 2: [1056, 2003, 2003, 1052, 1052, 1001, 2055, 3802, 1052], 3: [1055, 2003, 3340, 1083, 1036, 3044, 1042], 4: [1055, 2003, 3340, 1001, 2003, 2003, 3009, 2003, 1037, 2055, 2003], 5: [2031, 3340, 1039, 3706, 1028, 1001, 3364, 3751, 2055], 6: [1055, 2003, 3340, 1036, 1036, 2031, 3144, 1001], 7: [1039, 2031, 3340, 3364, 3706, 1052, 1042, 1402, 1052], 8: [3854, 2003, 2003, 3340, 3024, 2003, 1033, 1029, 2003], 9: [1056, 2003, 2003, 3340, 1052, 1052, 2055, 3802, 1001], 10: [2033, 1055, 1036, 2055, 1053, 1036]}","{1: 5, 2: 9, 3: 8, 4: 6, 5: 7, 6: 7, 7: 8, 8: 7, 9: 8, 10: 8}"
"{1: [1056, 2003, 2003, 1052, 2031, 3802, 1052, 1004], 2: [3364, 3364, 1039, 1006, 3340, 1036, 1036, 2055, 3364, 3077, 1001, 1042, 2055, 3006, 1036, 2055], 3: [3340, 3858, 2003, 2003, 1001, 2003, 2055, 3117, 1029, 2003, 3024], 4: [1055, 2003, 1001, 1055, 1042, 2003, 2003, 1038, 2003, 3006], 5: [1056, 2003, 2003, 3108, 2031, 1042, 1042, 2055], 6: [1056, 2003, 2003, 3340, 3196, 1004, 2055, 2055, 2003, 2003, 1082, 2055], 7: [3850, 2003, 2003, 3340, 1001, 2055, 2055, 3117, 3145], 8: [1041, 2031, 3340, 1036, 3715, 2055, 1412], 9: [1055, 2003, 3340, 1083, 3057, 2003, 1027, 1001], 10: [3364, 1054, 2003, 3340, 3364, 3340, 1027, 2031, 1028, 3010, 1057, 2055]}","{1: 8, 2: 7, 3: 6, 4: 6, 5: 8, 6: 8, 7: 5, 8: 7, 9: 6, 10: 8}"
"{1: [1055, 2003, 3340, 1038, 1036, 2003, 2055, 1001], 2: [1036, 2003, 2003, 2003, 3340, 1036, 2003, 1001, 2055, 1052, 1052, 3145, 2055, 3364], 3: [1056, 2003, 3340, 2003, 1027, 1004, 3070, 1052, 2055, 2055], 4: [1041, 2031, 3340, 2055, 3133, 1400, 1036, 2055], 5: [3854, 2003, 2003, 3340, 1001, 1027, 1029, 2055, 3024, 2003], 6: [1056, 2003, 2003, 3340, 3196, 2055, 3197, 2055], 7: [1039, 3340, 2031, 3706, 1082, 3108, 1402, 2055], 8: [3854, 2003, 2003, 3340, 1001, 2031, 2055, 3117, 2055, 2055], 9: [1054, 2003, 3340, 3144, 1001, 1042], 10: [3340, 1054, 2003, 2055, 3133, 3067, 1036, 2031]}","{1: 6, 2: 7, 3: 7, 4: 7, 5: 6, 6: 8, 7: 7, 8: 6, 9: 6, 10: 8}"
"{1: [1082, 2031, 3340, 2033, 1056, 1001, 1029, 3047, 1052, 1029], 2: [3858, 2003, 2003, 1001, 2055, 3009, 1029, 2055], 3: [1055, 2003, 3340, 3057, 1004, 2003, 2003, 3070, 1001], 4: [1041, 2031, 3364, 3715, 1001, 1036, 1036, 3133, 1029], 5: [1056, 2003, 2003, 3136], 6: [1055, 2003, 3340, 1038, 2003, 2055, 3508], 7: [1055, 2003, 3340, 1055, 1036, 1001, 1053, 2003], 8: [2003, 2003, 3340, 3858, 3009, 2055, 2055, 1028, 3801, 2055], 9: [2033, 3340, 1056, 2055, 1082, 1001, 2055, 1052], 10: [2031, 3340, 1041, 3364, 3715, 1036, 2055, 1412, 1001, 2055]}","{1: 8, 2: 6, 3: 6, 4: 7, 5: 8, 6: 7, 7: 8, 8: 5, 9: 7, 10: 7}"
"{1: [2033, 1082, 2055, 3158, 3145, 1028, 2055], 2: [3850, 3340, 2003, 2003, 1001, 2003, 2003, 2003, 2003, 2055, 1004, 1004, 2055, 2003, 2003, 2003, 2055], 3: [1055, 2003, 3340, 1036, 2031, 1036, 2055, 3133, 3067, 1029, 3047, 1036], 4: [2003, 3340, 1055, 1083, 1001, 1042, 1036, 1036], 5: [1041, 2031, 3340, 3077, 1001], 6: [1039, 2031, 3340, 3364, 1041, 2055, 3715, 1001, 1052], 7: [2033, 3340, 1036, 1029, 3047, 2055, 1053, 2055], 8: [1055, 2003, 3340, 3123, 1036, 1038, 1001, 2055], 9: [3854, 2003, 2003, 3340, 1001, 3009, 1029, 1033, 2055, 2055], 10: [1036, 2003, 2003, 2003, 1053, 1036, 2003, 2003, 3146, 2055]}","{1: 8, 2: 4, 3: 8, 4: 5, 5: 8, 6: 7, 7: 7, 8: 7, 9: 6, 10: 8}"
"{1: [3850, 2003, 2003, 3117, 2055, 2055], 2: [2031, 1039, 3340, 3364, 1036, 2055, 3715, 2055, 1036], 3: [1054, 2003, 3340, 1036, 1006, 2003, 3751, 2003, 3077], 4: [1055, 2003, 3340, 3070, 2055, 2031, 1036, 2055, 1037], 5: [1055, 2003, 1036, 1036, 2003, 3134, 3179, 2055, 2003], 6: [3850, 2003, 2003, 3340, 1001, 1052, 2003, 3364, 3117, 2003, 2055, 1026, 2003], 7: [3340, 3340, 1054, 2003, 1036, 2031, 2055, 3133, 1001, 1042], 8: [1054, 2003, 1053, 1001, 2031, 2055, 2055, 3144], 9: [1041, 2031, 3340, 3715, 1001, 1082, 1414], 10: [1054, 2003, 3052, 1028, 3077]}","{1: 7, 2: 5, 3: 8, 4: 8, 5: 7, 6: 6, 7: 6, 8: 7, 9: 7, 10: 9}"
"{1: [2033, 3340, 3044, 2055, 1042, 1042, 3101, 1027, 1001], 2: [1055, 2003, 3340, 1055, 1055, 2031, 1038], 3: [3850, 2003, 2003, 3340, 1028, 2055, 1004, 3070, 3364, 2055, 3801, 2055, 2055], 4: [2031, 3340, 1041, 3706, 2055, 1402, 1001, 1052, 2055], 5: [1054, 3340, 2003, 1042, 1042, 1036, 1028, 2031, 3006, 3044], 6: [1039, 2031, 3340, 3706, 2055, 3364, 3751, 1401, 1001, 2055, 2055, 3111, 1029], 7: [1055, 2003, 1055, 1036, 1053, 1001, 2055], 8: [1055, 2003, 1055, 1036, 2003, 3006, 3086, 2031], 9: [2033, 3340, 1036, 1028, 1001, 3044, 1042, 3101], 10: [3850, 2003, 2003, 3340, 3009, 2055, 1004, 2055, 3108, 3364, 2055]}","{1: 7, 2: 7, 3: 6, 4: 6, 5: 7, 6: 7, 7: 7, 8: 9, 9: 7, 10: 6}"
"{1: [1039, 2031, 3340, 3364, 1036, 1036, 2055, 1001, 3133, 1041], 2: [1056, 2003, 3340, 2003, 3067, 3108], 3: [1054, 3340, 2003, 1029, 1028, 1033, 1028, 3751], 4: [2003, 2003, 1056, 1052, 1052, 2055, 3802, 1052], 5: [3862, 2003, 2003, 1036, 1036, 1036, 3134], 6: [2033, 3340, 1036, 1055, 3077, 3057], 7: [1039, 2031, 3340, 3364, 3715, 1052, 2055, 1082, 1414, 1052], 8: [3858, 2003, 2003, 3340, 3111, 2003], 9: [1054, 2003, 3006, 1036, 2031, 2055], 10: [2033, 3340, 1036, 1036, 1036, 1006, 3077, 1053]}","{1: 6, 2: 7, 3: 8, 4: 6, 5: 5, 6: 9, 7: 8, 8: 6, 9: 7, 10: 8}"
"{1: [1054, 2003, 3340, 1029, 1001, 2003, 3191, 1029, 1028, 3047], 2: [3850, 2003, 2003, 3340, 1001, 2055, 1029, 2031, 1028], 3: [1055, 2003, 1055, 1055, 2003, 1038, 1001, 1042], 4: [1054, 2003, 1055, 2003, 1055, 2003, 2003, 1001, 3076], 5: [1039, 2031, 3340, 3706, 3108, 1402, 1001, 3020, 1052], 6: [3854, 2003, 2003, 3340, 1001, 2055, 2055, 3117, 3364, 3024], 7: [1055, 2003, 3340, 3006, 1042, 1053, 2055, 3144], 8: [1055, 2003, 1036, 1036, 3133, 3067, 1036, 2031, 2055, 3123], 9: [1055, 2003, 3340, 1042, 2031, 3006, 1018, 1042, 3086, 1042, 2055, 3046, 2055, 2055], 10: [1039, 2031, 3340, 1052, 1001, 2055, 2055, 3108, 3706, 1402]}","{1: 7, 2: 6, 3: 9, 4: 8, 5: 8, 6: 7, 7: 6, 8: 9, 9: 8, 10: 6}"
"{1: [1036, 2003, 2003, 2003, 3340, 3145, 1001, 2031, 1033, 2055, 3155, 2055], 2: [1054, 2003, 3340, 1053, 3144, 1043, 2003], 3: [3854, 3340, 2003, 2003, 1001, 2003, 1029, 1031, 2003, 2031, 2055], 4: [1039, 2031, 3340, 3108, 1082, 2055, 3364, 1402], 5: [2033, 1001, 1036, 3134, 1036, 1036], 6: [1054, 2003, 3340, 1036, 2003, 1036, 2031, 2055, 3133, 1001], 7: [1041, 2031, 3340, 3706, 1036, 2055, 2055, 3133], 8: [3862, 2003, 2003, 3340, 3134, 2055, 3179, 1001, 1036], 9: [3340, 3854, 2003, 2003, 3024, 2055, 3050, 1001, 1029], 10: [1056, 2003, 2003, 3340, 3145, 1001, 2055, 2003, 2003, 1082, 1028]}","{1: 7, 2: 6, 3: 5, 4: 8, 5: 8, 6: 7, 7: 6, 8: 6, 9: 6, 10: 8}"
"{1: [1055, 2003, 3340, 3144, 2003, 2055, 1001, 1042], 2: [3340, 3858, 2003, 2003, 1001, 1029, 2055, 3111, 2003], 3: [2033, 3340, 1036, 1053], 4: [1041, 2031, 3364, 3751, 1001, 2055, 1039, 2055], 5: [2033, 3145, 2055, 1028, 3152, 1001, 2055], 6: [1056, 2003, 2003, 3340, 1052, 1042, 1042, 3108, 3101, 2031, 1001], 7: [1054, 2003, 3340, 1042, 2003, 3006], 8: [1054, 2003, 3340, 1028, 2003, 3751, 1029, 1029, 2003, 2003], 9: [3858, 3340, 2003, 2003, 1001, 1028, 3158, 3067, 2055, 2003, 1029, 2055], 10: [1041, 2031, 3340, 1036, 1036, 2055, 2055, 3715, 2055, 2055, 3133]}","{1: 6, 2: 6, 3: 8, 4: 7, 5: 7, 6: 8, 7: 6, 8: 7, 9: 6, 10: 6}"
"{1: [1036, 2031, 3145, 1036, 1001, 3146, 1052], 2: [2031, 1041, 3364, 3715, 1036, 2055, 1036, 3133], 3: [1055, 2003, 3340, 1001, 2003, 3145, 1029, 2055], 4: [2003, 1056, 2003, 3340, 2055, 2003, 3802, 1052, 1052, 2055], 5: [3850, 2003, 2003, 3340, 1033, 1004, 1004, 2055, 3028], 6: [3854, 2003, 2003, 3340, 3117, 1033, 2055, 2055], 7: [2003, 1055, 1001, 1038, 1042, 2003, 1037, 2031], 8: [1054, 2003, 3340, 1001, 1033, 2055, 3111, 3751], 9: [2003, 1054, 3340, 1053, 1001], 10: [1039, 2031, 3340, 3364, 3108, 2055, 3706, 1402, 1001, 2055]}","{1: 9, 2: 7, 3: 8, 4: 7, 5: 6, 6: 6, 7: 6, 8: 8, 9: 5, 10: 8}"
"{1: [1055, 2003, 3006, 1053, 1036, 2003, 2055, 3144, 1043], 2: [2033, 3340, 1055, 1029, 3057, 2055, 3047], 3: [3340, 2033, 3145, 1082, 2055, 3152], 4: [3858, 3340, 2003, 2003, 1001, 1029, 3047, 1029, 1027], 5: [1041, 2031, 3340, 3364, 3715, 1036, 1036, 2055, 3133, 1001, 2055], 6: [1055, 2003, 3340, 3006, 1042, 1042, 1018], 7: [1041, 2031, 3340, 3364, 3751, 1039, 2055, 3715, 1413, 3044], 8: [1054, 2003, 3340, 2031, 3364, 3364, 2055, 1001, 1036, 3145, 2055], 9: [3858, 2003, 2003, 3340, 2003, 2055, 1001, 1029, 1027, 3024, 2003, 2055], 10: [1036, 2031, 3340, 2055, 1001, 1036, 1006, 3077, 2055, 1036]}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 7, 6: 6, 7: 7, 8: 7, 9: 5, 10: 7}"
"{1: [1036, 2031, 3340, 1036, 1006, 1001, 3077, 1036, 1033, 2055], 2: [1039, 2031, 3364, 3706, 3108, 2055, 1402, 1001, 3158], 3: [1055, 2003, 3340, 2003, 2031, 1036, 1029, 3077], 4: [3850, 2003, 2003, 3340, 2055, 2003, 2003, 3117, 2055, 2055, 2003, 2055, 1028, 1011, 3364, 2055], 5: [1056, 2003, 2003, 1056, 3802, 1026, 2055, 3285, 3020, 1052], 6: [1056, 2003, 2003, 3340, 3070, 1052, 2003, 1052, 2003, 2055], 7: [2033, 3340, 1001, 1056, 1056, 1029, 1026, 3020], 8: [3858, 2003, 2003, 3340, 1001, 2031, 2055, 3009, 2055, 2055], 9: [1039, 2031, 3340, 3706, 3133, 2055, 3364, 1400, 3044], 10: [1054, 3340, 2003, 3047, 2003, 1053, 1036, 2031]}","{1: 8, 2: 7, 3: 8, 4: 6, 5: 8, 6: 6, 7: 7, 8: 5, 9: 7, 10: 8}"
"{1: [1054, 2003, 3340, 1028, 1029, 3751, 1001, 2055, 3047], 2: [1055, 2003, 3340, 3070, 3057, 2055, 1037], 3: [1039, 3340, 2031, 3364, 1001, 1082, 3715, 2055, 1052], 4: [3858, 2003, 2003, 3340, 1001, 1029, 1028, 3364, 3024, 2003], 5: [2033, 1036, 2055, 3134, 3111, 1036], 6: [1036, 2031, 3340, 3145, 1036, 3146, 1001, 1082], 7: [1036, 2003, 2003, 2003, 3340, 3133, 2003, 2003, 3123, 1036, 2003, 3067, 2055], 8: [1055, 2003, 3340, 3006, 1036, 1042, 1053, 1036, 2003, 2003], 9: [1041, 2031, 3340, 3364, 3715, 1082, 1414, 2055], 10: [3340, 3854, 2003, 2003, 1001, 3117, 2055, 3114, 2055, 3364]}","{1: 7, 2: 7, 3: 6, 4: 6, 5: 7, 6: 8, 7: 7, 8: 6, 9: 7, 10: 6}"
"{1: [2033, 3340, 3057, 1001, 1036, 2055, 1028, 3044], 2: [1056, 2003, 2003, 3340, 1001, 2003, 2003, 1052, 1052, 2003, 2055, 3802, 1033], 3: [1041, 2031, 3340, 3077, 1001, 3364, 3134, 1036, 2055], 4: [1055, 2003, 3340, 3144, 3006], 5: [3850, 2003, 2003, 3117, 1004, 1004, 1052], 6: [1039, 2031, 3340, 1041, 2055, 3706, 1028, 2055], 7: [1054, 2003, 3340, 1038, 2015, 2003, 2055], 8: [3850, 2003, 2003, 3340, 1001, 1006, 3117, 2055], 9: [1056, 2003, 2003, 3340, 1056, 2031, 3108, 2055, 2055, 1001], 10: [2033, 3340, 1053, 2055, 3144, 1001]}","{1: 7, 2: 7, 3: 7, 4: 7, 5: 6, 6: 6, 7: 7, 8: 6, 9: 8, 10: 8}"
"{1: [3854, 2003, 2003, 3340, 2055, 1001, 2055, 3117, 3134, 1036, 2055, 3364], 2: [1054, 2003, 1036, 1006, 2031, 3077, 1001], 3: [1055, 2003, 3340, 3070, 2003, 1001, 1037, 2003], 4: [2033, 2055, 1082, 1052, 1001, 3145], 5: [1041, 3340, 2031, 1001, 2055, 2055, 3706, 3364], 6: [1056, 2003, 2003, 3340, 3070, 2031, 1052, 1052, 2055], 7: [3850, 2003, 2003, 3340, 1001, 1033, 2055, 2003, 3111, 2055, 2003, 2003], 8: [1055, 2003, 3340, 1036, 1036, 1006, 3077, 1001, 1028, 1036], 9: [1041, 2031, 1412, 2055, 2055, 3044, 3067], 10: [3340, 1056, 2003, 2003, 1052, 2031, 2055, 3145, 1001, 1028, 2055]}","{1: 6, 2: 7, 3: 7, 4: 6, 5: 6, 6: 7, 7: 6, 8: 8, 9: 7, 10: 7}"
"{1: [2033, 3340, 1056, 1052, 1001, 2055, 3020, 1028], 2: [1041, 2031, 3340, 1036, 1036, 1036, 3364, 3077, 1001, 1036, 3134, 2055], 3: [3850, 2003, 2003, 1001, 2031, 1004, 2055, 1004, 1052], 4: [1055, 3340, 2003, 1055, 2031, 3067, 3133], 5: [1055, 2003, 3340, 3006, 2003, 2055, 1038], 6: [2033, 3117, 2055, 3134, 1036, 1036, 2055, 3364, 3147, 2055], 7: [3854, 2003, 2003, 3340, 1001, 3009, 1036, 2031], 8: [2033, 3340, 2055, 3751, 1028, 1001], 9: [2031, 3340, 1039, 1001, 1041, 2055, 1052], 10: [1055, 2003, 3340, 1055, 1036, 1036, 1001]}","{1: 8, 2: 6, 3: 5, 4: 8, 5: 6, 6: 8, 7: 6, 8: 8, 9: 6, 10: 6}"
"{1: [1027, 2031, 3340, 3802, 3070, 3003], 2: [1041, 3340, 2031, 3715, 1001, 2055, 2055, 3364, 1412], 3: [3850, 2003, 2003, 3340, 3364, 3009, 2055], 4: [1055, 2003, 3340, 1037, 1001, 3070, 1042, 2055], 5: [2003, 1054, 2003, 2055, 3751, 3047, 1031, 2055], 6: [1056, 2003, 2003, 3340, 1001, 1042, 1042, 3020, 3101], 7: [2055, 3850, 3340, 1082, 1052, 1004, 1004, 3108], 8: [1055, 2003, 3340, 3006, 1042, 2031, 2055, 1043], 9: [1055, 2003, 3340, 1036, 2031, 3077, 1001, 1036], 10: [1039, 2031, 3364, 1041, 3715, 1052, 1001, 3108, 1027]}","{1: 8, 2: 7, 3: 6, 4: 7, 5: 9, 6: 7, 7: 6, 8: 6, 9: 8, 10: 7}"
"{1: [2003, 1056, 2003, 3070, 1004, 1027, 1052, 3802, 2003, 2055], 2: [1055, 2003, 3340, 1042, 2031, 1055, 1042, 3006, 1042], 3: [1054, 2003, 3340, 3111, 2055, 1053, 1036], 4: [3858, 2003, 3340, 1052, 2055, 2003, 3108, 1001], 5: [2031, 1039, 3340, 3751, 1001, 3364, 2055, 1029, 3706], 6: [1039, 2031, 1401, 3364, 1029], 7: [3340, 3340, 3858, 3340, 2003, 2003, 3117, 2055], 8: [2033, 3340, 3191, 1027, 2055], 9: [1055, 2003, 3340, 1083, 2055, 3070, 3057, 2003], 10: [1036, 2031, 3077, 1036, 1036, 3134]}","{1: 6, 2: 8, 3: 8, 4: 6, 5: 6, 6: 7, 7: 7, 8: 8, 9: 6, 10: 8}"
"{1: [1041, 2031, 3340, 3715, 1036, 1412, 2055], 2: [1055, 2003, 3340, 2031, 2055, 1036, 1083, 1053, 1036, 1001], 3: [2033, 3340, 1082, 1052, 2055, 1001, 1052, 2055], 4: [1055, 2003, 3340, 1038, 2031, 1036, 1036], 5: [3858, 2003, 2003, 1001, 1029, 2055, 1029, 2055], 6: [1055, 2003, 3340, 3057, 1004, 3070, 1001, 1083], 7: [3850, 2003, 2003, 3340, 1052, 1004, 1004, 3108, 2055], 8: [1041, 2031, 3340, 3364, 3706, 1036, 2055, 1036, 1001, 2055], 9: [2003, 2003, 2003, 3340, 1036, 1036, 2055, 3133, 2031, 3067], 10: [3364, 2033, 2055, 1056, 1082, 1001, 1052]}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 8, 10: 8}"
"{1: [3858, 2003, 2003, 3340, 1001, 2031, 2055, 2055, 3117, 2055, 2055, 1029, 3024], 2: [1055, 2003, 3340, 1037, 2031, 2055, 1001, 1042, 1038], 3: [1056, 2003, 2003, 3340, 2031, 3010, 1001, 3027, 3020], 4: [1055, 3340, 2003, 1055, 2031, 2055, 1053], 5: [1041, 2031, 3340, 3364, 3706, 2055, 2055, 3108, 2055], 6: [3862, 2003, 2003, 3340, 1036, 2031, 3134, 2055, 1036, 1036], 7: [1054, 2003, 3340, 3044, 2055, 1042, 1042, 3047], 8: [1055, 2003, 3340, 1055, 1036, 2055, 2031, 3057, 1028], 9: [1041, 2031, 3340, 1001, 1039, 1028, 1401, 1033, 2055, 3364], 10: [3340, 2033, 1082, 2055, 1001, 3111, 1028, 3010, 2055]}","{1: 7, 2: 7, 3: 9, 4: 8, 5: 6, 6: 7, 7: 6, 8: 9, 9: 7, 10: 8}"
"{1: [2031, 1039, 2055, 3364, 3706, 1001, 2055, 1082, 1052, 2055], 2: [3850, 2003, 2003, 3340, 1001, 2003, 2055, 2055, 3117, 2003, 2055], 3: [1055, 2003, 3340, 1036, 1036, 2031, 2055, 3047], 4: [1055, 2003, 3340, 1055, 1036, 2003, 2055, 1001, 1036, 1042, 3006, 3133, 2055], 5: [2033, 3340, 1052, 2055, 3145, 3067, 2055], 6: [1056, 2003, 2003, 1027, 1052, 2003, 2055, 3802, 1026, 1001], 7: [1055, 2003, 3340, 3057, 2031, 2055, 3070, 1001, 2055], 8: [1039, 2031, 3340, 3706, 3751, 3364], 9: [3854, 2003, 2003, 3340, 3117, 2055, 3364, 1036, 2055, 3134], 10: [3340, 2003, 1055, 3077, 2031, 2055, 1053]}","{1: 6, 2: 5, 3: 8, 4: 6, 5: 7, 6: 8, 7: 6, 8: 7, 9: 6, 10: 9}"
"{1: [1054, 2003, 1036, 1033, 2031, 2055, 1001, 3155, 3158], 2: [2031, 1041, 3340, 1001, 3706, 3133, 2055, 3364], 3: [2003, 3340, 2003, 1056, 1036, 1028, 3044, 1042, 2003, 1031], 4: [1055, 3340, 2003, 1001, 1042, 1038, 2003, 1037, 3006], 5: [3858, 2003, 2003, 3364, 1001, 2055, 1029, 1029], 6: [3854, 3340, 2003, 2003, 1001, 1029, 2055, 2055, 3117, 3024], 7: [1055, 2003, 3340, 1037, 2031, 3070, 2055, 3004], 8: [1041, 2031, 3340, 3020, 2055, 2055, 3364, 3108], 9: [2033, 1082, 1001, 2055, 3191], 10: [2033, 3340, 1053, 1042, 3144, 1043, 1001]}","{1: 7, 2: 6, 3: 8, 4: 6, 5: 5, 6: 6, 7: 6, 8: 7, 9: 7, 10: 7}"
